,fun,fun-static,aflpp,fairfuzz,aflgo
cxxfilt,135.0,134.2,127.4,109.3,80.8
nm-new,326.2,324.0,321.5,314.8,308.2
objdump,508.8,487.2,486.0,456.9,497.7
readelf,267.0,262.2,261.9,235.6,222.6
djpeg,330.8,325.0,323.3,321.6,306.2
readpng,82.0,82.0,82.0,82.0,82.0
mjs,72.7,72.6,72.0,70.0,71.1
mutool,146.9,147.0,146.8,146.9,0.0
tcpdump,73.0,73.0,73.0,73.0,73.0
xmllint,304.4,287.4,276.6,310.6,244.0
