"fuzzer","bugs"
"funfuzz","XML009;SND001;PNG003;PNG007;XML001;SND006;SQL018;XML017;LUA004;SQL015;XML012;SQL013;SND017;SND020;SQL002;XML003;PNG001;SQL003;SQL014;XML002;SQL020;SND005;SND007;SQL012;SND024"
"aflplusplus","XML009;SND001;PNG003;PNG007;XML001;SND006;SQL018;XML017;XML012;LUA004;SQL015;SQL013;SND017;SND020;SQL002;XML003;PNG001;PNG006;SQL014;XML002;SQL020;SND005;SND007;SQL012;SND024"
"fairfuzz","XML009;SND001;PNG003;PNG007;SND006;SQL018;XML017;LUA004;SND020;SND017;SQL002;SQL014;SQL020;SND005;SND007;SND024"
"aflgo","SND001;SND017;SQL002;PNG001;PNG003;PNG007;SQL018;SND005;XML017"
"entropic","XML009;SQL002;PNG003;PNG007;PNG006;SQL014;SQL018;XML017"
"k_scheduler","SND001;SND017;SND007;SQL002;PNG003;PNG007;SND024;SND006;SQL018;SND005;LUA004;XML017"
