,project,target,FunFuzz-reached-total,FunFuzz-reached-unique,FunFuzz-triggered-total,FunFuzz-triggered-unique,AFL++-reached-total,AFL++-reached-unique,AFL++-triggered-total,AFL++-triggered-unique,FairFuzz-reached-total,FairFuzz-reached-unique,FairFuzz-triggered-total,FairFuzz-triggered-unique,AFLGo-reached-total,AFLGo-reached-unique,AFLGo-triggered-total,AFLGo-triggered-unique,Entropic-reached-total,Entropic-reached-unique,Entropic-triggered-total,Entropic-triggered-unique,K-Sched-reached-total,K-Sched-reached-unique,K-Sched-triggered-total,K-Sched-triggered-unique
0,libpng,libpng_read_fuzzer,120,6,40,3,54,6,24,4,120,6,27,2,120,6,36,3,120,6,60,3,120,6,27,2
1,libsndfile,sndfile_fuzzer,160,8,140,7,160,8,140,7,126,8,35,7,160,8,43,3,0,0,0,0,160,8,59,6
2,libxml2,libxml2_xml_read_memory_fuzzer,161,9,83,6,161,9,85,6,160,8,21,2,160,8,20,1,160,8,38,2,160,8,20,1
3,lua,lua,42,3,20,1,37,3,19,1,19,1,19,1,0,0,0,0,0,0,0,0,20,1,20,1
4,sqlite3,sqlite3_fuzz,270,16,92,8,258,16,79,7,173,12,35,4,133,11,20,2,188,10,28,3,112,9,3,2
