,project,target,FunFuzz-total,FunFuzz-unique,AFL++-total,AFL++-unique,FairFuzz-total,FairFuzz-unique,AFLGo-total,AFLGo-unique,Entropic-total,Entropic-unique,K-Sched-total,K-Sched-unique
0,libpng,libpng_read_fuzzer,40,3,24,4,27,2,36,3,60,3,27,2
1,libsndfile,sndfile_fuzzer,140,7,140,7,35,7,43,3,0,0,59,6
2,libxml2,libxml2_xml_read_memory_fuzzer,83,6,85,6,21,2,20,1,38,2,20,1
3,lua,lua,20,1,19,1,19,1,0,0,0,0,20,1
4,sqlite3,sqlite3_fuzz,92,8,79,7,35,4,20,2,28,3,3,2
