,period-0s,period-30s,period-60s,period-90s,period-120s,period-150s,period-180s
period-0s,1.0,0.1212,0.4727,0.3447,0.3075,0.5205,0.273
period-30s,0.1212,1.0,0.0003,0.001,0.0036,0.0002,0.0036
period-60s,0.4727,0.0003,1.0,0.089,0.1041,0.9097,0.0113
period-90s,0.3447,0.001,0.089,1.0,0.5708,0.014,0.162
period-120s,0.3075,0.0036,0.1041,0.5708,1.0,0.0113,0.6776
period-150s,0.5205,0.0002,0.9097,0.014,0.0113,1.0,0.0004
period-180s,0.273,0.0036,0.0113,0.162,0.6776,0.0004,1.0
